,dbn,schoolname,rr_s,N_s,nr_s,saf_s_11,com_s_11,eng_s_11,aca_s_11
351,08X072,P.S. 072 Dr. William Dorney,,,0,,,,
352,08X075,P.S. 075,,,0,,,,
353,08X093,P.S. 093 Albert G. Oliver,,,0,,,,
354,08X100,P.S. 100 Isaac Clason,,,0,,,,
355,08X101,M.S. X101 Edward R. Byrne,99,448,453,7.1,6.7,7.3,8
356,08X107,P.S. 107,,,0,,,,
357,08X119,P.S. 119,,,0,,,,
358,08X123,J.H.S. 123 James M. Kieran,94,478,506,6,6.1,6.7,7.5
359,08X125,J.H.S. 125 Henry Hudson,85,554,649,5.9,5.9,6.4,7.3
360,08X130,P.S. 130 Abram Stevens Hewitt,,,0,,,,
361,08X131,J.H.S. 131 Albert Einstein,96,813,850,5.8,5.9,6.3,7.2
362,08X138,P.S. 138 Samuel Randall,,,0,,,,
363,08X140,P.S. X140 The Eagle School,,,0,,,,
364,08X146,P.S. 146 Edward Collins,,,0,,,,
365,08X152,P.S. 152 Evergreen,,,0,,,,
366,08X182,P.S. 182,,,0,,,,
367,08X269,Bronx Studio School for Writers and Artists,0,,381,,,,
